2021-05-08 09:30:43.750 [main] INFO  eu.mihosoft.freerouting.FreeRouting - Freerouting application is started.
2021-05-08 09:30:44.585 [main] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'MainApplication.main()' was performed in 1.12 seconds.
2021-05-08 09:30:56.491 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'io-board-mixed.dsn'...
2021-05-08 09:30:57.779 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Opening 'io-board-mixed.rules'...
2021-05-08 09:30:57.782 [AWT-EventQueue-0] ERROR eu.mihosoft.freerouting.FreeRouting - File 'io-board-mixed.rules' was not found.
2021-05-08 09:31:02.453 [AWT-EventQueue-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:08.497 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #1 on board 'c8b913495674561a05532d69335c2acf' making 180 changes' was performed in 5.93 seconds.
2021-05-08 09:31:12.065 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #2 on board '990d609e1ff3ced14025673fefdb8dd0' making 73 changes' was performed in 3.53 seconds.
2021-05-08 09:31:15.006 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #3 on board '0e014eee4e62223f0fd90b7c1976a19b' making 88 changes' was performed in 2.91 seconds.
2021-05-08 09:31:16.142 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #4 on board 'bc0cd5a554a19f7e9331e63eb5569c89' making 64 changes' was performed in 1.11 seconds.
2021-05-08 09:31:16.480 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #5 on board '454c412a80442dfbfe19f7d7bc968bf2' making 48 changes' was performed in 0.32 seconds.
2021-05-08 09:31:16.506 [Thread-0] TRACE eu.mihosoft.freerouting.FreeRouting - Method 'BatchAutorouter.autoroute_pass #6 on board '32976d24bf604a0f2285bfb19bd37d19' making 0 changes' was performed in 0.01 seconds.
2021-05-08 09:31:16.521 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:16.611 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:16.646 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:16.677 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:16.733 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:16.784 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:16.869 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.056 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.103 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.145 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.182 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.244 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.289 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.381 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.452 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.519 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.600 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:17.664 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:18.418 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:18.921 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:19.032 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:19.126 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:19.566 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:20.054 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:20.503 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.022 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.204 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.455 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.540 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.568 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.677 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.736 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.797 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.825 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:21.871 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:22.078 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:22.132 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:22.180 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:22.243 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:22.546 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:22.963 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:22.991 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.109 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.315 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.345 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.495 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.645 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.694 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.833 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:23.871 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:24.146 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:24.287 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:24.369 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:24.471 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:24.594 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:24.681 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:24.989 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:25.146 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:25.420 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:25.536 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:26.024 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:26.489 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:26.583 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:26.764 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:26.934 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:27.156 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:29.714 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:30.290 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:30.658 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:30.810 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:30.910 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:30.937 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:30.971 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:32.559 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:32.599 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
2021-05-08 09:31:32.671 [Thread-0] INFO  eu.mihosoft.freerouting.FreeRouting - Generating snapshot
